date,open,high,low,close,volume,turnover,turnrate
2025-10-17,247.77980070207627,253.13461023404025,247.03052706557392,252.045654296875,49147000,12387287771.728516,0.0
2025-10-20,255.64218177653177,264.1239650925819,255.3824390623343,261.98602294921875,90483000,23705281314.51416,0.0
2025-10-21,261.6263807259345,265.03308188579996,261.5764108568555,262.5155029296875,46695900,12258397673.254395,0.0
2025-10-22,262.3956210979312,262.5954395959732,255.18261234613632,258.19970703125,45015300,11622937271.923828,0.0
2025-10-23,259.68824995662277,260.36758405794774,257.76012648314656,259.3285827636719,32754900,8494281795.565796,0.0
2025-10-24,260.93706434715574,263.87421967110856,258.9290010880386,262.56549072265625,38253700,10044101512.457275,0.0
2025-10-27,264.6234656652487,268.8593494221352,264.3936774471076,268.5496520996094,44888200,12054710493.377686,0.0
2025-10-28,268.7294713644567,269.6286240979669,267.8902885694659,268.7394714355469,41534800,11162040198.181152,0.0
2025-10-29,269.01920560410514,271.1471476128123,266.85129379808274,269.4388122558594,51086700,13764739770.071411,0.0
2025-10-30,271.72657092903916,273.87451306817263,268.2199910571769,271.13714599609375,69886500,18948826153.656006,0.0
2025-10-31,276.721738255342,277.05143573891627,268.89933466249033,270.108154296875,86167100,23274436342.114258,0.0
2025-11-03,270.15812755648943,270.5877038096653,265.9921525413924,268.7894287109375,50194600,13491777858.374023,0.0
2025-11-04,268.0701070960229,271.22705027239556,267.36080327265466,269.7784729003906,49274800,13293280296.472168,0.0
2025-11-05,268.3498399683747,271.43687417180433,266.67147434431234,269.8783874511719,43683100,11789124586.868286,0.0
2025-11-06,267.6305743388968,273.1352174017799,267.6305743388968,269.50872802734375,51204000,13799924909.91211,0.0
2025-11-07,269.5386899523433,272.02629915101613,266.51162568814635,268.2099914550781,48227400,12935070541.900635,0.0
2025-11-10,268.9599914550781,273.7300109863281,267.4599914550781,269.42999267578125,41312400,11130799629.418945,0.0
2025-11-11,269.80999755859375,275.9100036621094,269.79998779296875,275.25,46208300,12718834575.0,0.0
2025-11-12,275.0,275.7300109863281,271.70001220703125,273.4700012207031,48398000,13235401119.07959,0.0
2025-11-13,274.1099853515625,276.70001220703125,272.0899963378906,272.95001220703125,49602800,13539084865.50293,0.0
2025-11-14,271.04998779296875,275.9599914550781,269.6000061035156,272.4100036621094,47431300,12920760606.698608,0.0
2025-11-17,268.82000732421875,270.489990234375,265.7300109863281,267.4599914550781,45018300,12040594133.322144,0.0
2025-11-18,269.989990234375,270.7099914550781,265.32000732421875,267.44000244140625,45677300,12215937223.516846,0.0
2025-11-19,265.5299987792969,272.2099914550781,265.5,268.55999755859375,40424500,10856403621.307373,0.0
2025-11-20,270.8299865722656,275.42999267578125,265.9200134277344,266.25,45823600,12200533500.0,0.0
2025-11-21,265.95001220703125,273.3299865722656,265.6700134277344,271.489990234375,59030800,16026271315.527344,0.0
2025-11-24,270.8999938964844,277.0,270.8999938964844,275.9200134277344,65585800,18096434816.6687,0.0
2025-11-25,275.2699890136719,280.3800048828125,275.25,276.9700012207031,46914200,12993826031.26831,0.0
2025-11-26,276.9599914550781,279.5299987792969,276.6300048828125,277.54998779296875,33431400,9278884661.901855,0.0
2025-11-28,277.260009765625,279.0,275.989990234375,278.8500061035156,20135600,5614812182.897949,0.0
2025-12-01,278.010009765625,283.4200134277344,276.1400146484375,283.1000061035156,46587700,13188978154.348755,0.0
2025-12-02,283.0,287.3999938964844,282.6300048828125,286.19000244140625,53669500,15359674336.029053,0.0
2025-12-03,286.20001220703125,288.6199951171875,283.29998779296875,284.1499938964844,43538700,12371521339.260864,0.0
2025-12-04,284.1000061035156,284.7300109863281,278.5899963378906,280.70001220703125,43989100,12347740906.976318,0.0
2025-12-05,280.5400085449219,281.1400146484375,278.04998779296875,278.7799987792969,47265800,13176759666.30249,0.0
2025-12-08,278.1300048828125,279.6700134277344,276.1499938964844,277.8900146484375,38211800,10618677661.743164,0.0
2025-12-09,278.1600036621094,280.0299987792969,276.9200134277344,277.17999267578125,32193300,8923338658.209229,0.0
2025-12-10,277.75,279.75,276.44000244140625,278.7799987792969,33038300,9210417233.670044,0.0
2025-12-11,279.1000061035156,279.5899963378906,273.80999755859375,278.0299987792969,33248000,9243941399.414062,0.0
2025-12-12,277.8999938964844,279.2200012207031,276.82000732421875,278.2799987792969,39532900,11001215363.742065,0.0
2025-12-15,280.1499938964844,280.1499938964844,272.8399963378906,274.1099853515625,50409100,13817637662.58545,0.0
2025-12-16,272.82000732421875,275.5,271.7900085449219,274.6099853515625,37648600,10338681494.506836,0.0
2025-12-17,275.010009765625,276.1600036621094,271.6400146484375,271.8399963378906,50138700,13629704024.386597,0.0
2025-12-18,273.6099853515625,273.6300048828125,266.95001220703125,272.19000244140625,51630700,14053360359.051514,0.0
2025-12-19,272.1499938964844,274.6000061035156,269.8999938964844,273.6700134277344,144632000,39581441382.08008,0.0
2025-12-22,272.8599853515625,273.8800048828125,270.510009765625,270.9700012207031,36571800,9909860690.64331,0.0
2025-12-23,270.8399963378906,272.5,269.55999755859375,272.3599853515625,29642000,8073294685.791016,0.0
2025-12-24,272.3399963378906,275.42999267578125,272.20001220703125,273.80999755859375,17910600,4904101342.272949,0.0
2025-12-26,274.1600036621094,275.3699951171875,272.8599853515625,273.3999938964844,21521800,5884059988.641357,0.0
2025-12-29,272.69000244140625,274.3599853515625,272.3500061035156,273.760009765625,23715200,6492273383.59375,0.0
2025-12-30,272.80999755859375,274.0799865722656,272.2799987792969,273.0799865722656,22139600,6045881670.715332,0.0
2025-12-31,273.05999755859375,273.67999267578125,271.75,271.8599853515625,27293600,7420037696.191406,0.0
2026-01-02,272.260009765625,277.8399963378906,269.0,271.010009765625,37838100,10254503850.512695,0.0
2026-01-05,270.6400146484375,271.510009765625,266.1400146484375,267.260009765625,45647200,12199671117.773438,0.0
2026-01-06,267.0,267.54998779296875,262.1199951171875,262.3599853515625,52352100,13735096189.123535,0.0
2026-01-07,263.20001220703125,263.67999267578125,259.80999755859375,260.3299865722656,48309800,12576489585.308838,0.0
2026-01-08,257.0199890136719,259.2900085449219,255.6999969482422,259.0400085449219,50419300,13060615902.82898,0.0
2026-01-09,259.0799865722656,260.2099914550781,256.2200012207031,259.3699951171875,39997000,10374021694.702148,0.0
2026-01-12,259.1600036621094,261.29998779296875,256.79998779296875,260.25,45263800,11779903950.0,0.0
2026-01-13,258.7200012207031,261.80999755859375,258.3900146484375,259.0899963378906,28011723,7257557209.488007,0.0
